wavelength (nm),intensity (counts)
616.13,70280
616.46,72257
616.8,72306
617.13,72248
617.46,73591
617.8,75004
618.13,75716
618.46,76547
618.8,79341
619.13,80027
619.46,81309
619.8,84219
620.13,84213
620.46,84582
620.8,86745
621.13,87149
621.46,89617
621.8,90213
622.13,92838
622.46,94896
622.79,94050
623.13,98431
623.46,98928
623.79,99841
624.12,102524
624.46,104844
624.79,106097
625.12,107876
625.45,107954
625.79,112207
626.12,114117
626.45,116254
626.78,117893
627.12,120890
627.45,122675
627.78,123041
628.11,126262
628.44,129661
628.78,133649
629.11,129477
629.44,133480
629.77,137480
630.1,142076
630.44,139326
630.77,142320
631.1,142160
631.43,143070
631.76,146419
632.09,145637
632.43,148637
632.76,147727
633.09,147567
633.42,147782
633.75,146494
634.08,147773
634.41,146494
634.74,147590
635.07,143750
635.41,141680
635.74,139145
636.07,140197
636.4,135270
636.73,135238
637.06,128883
637.39,125627
637.72,122691
638.05,119438
638.38,115944
638.71,111932
639.04,107912
639.37,104342
639.7,99179
640.03,97205
640.36,93606
640.69,91397
641.02,89115
641.36,86766
641.69,83978
642.02,80600
642.35,78824
642.67,76847
643,74196
643.33,72507
643.66,69251
643.99,67376
644.32,66341
644.65,64838
644.98,63809
645.31,61867
645.64,59608
645.97,61059
646.3,58986
646.63,57771
646.96,57402
647.29,56515
647.62,53791
647.95,53041
648.28,53204
648.6,52256
648.93,51102
649.26,49404
649.59,48154
649.92,47968
650.25,47779
650.58,46436
650.91,46465
651.24,46439
651.56,46753
651.89,45651
652.22,45154
652.55,44779
652.88,43555
653.21,43834
653.53,43270
653.86,42491
654.19,42985
654.52,42046
654.85,42517
655.17,42610
655.5,41171
655.83,41357
656.16,40790
656.49,41075
656.81,40380
657.14,40226
657.47,40075
657.8,40322
658.12,39374
658.45,40165
658.78,40630
659.11,39127
659.43,39662
659.76,39156
660.09,38816
660.42,39377
660.74,38941
661.07,38252
661.4,39005
661.72,38845
662.05,38313
662.38,38467
662.71,38092
663.03,37583
663.36,37961
663.69,37845
664.01,37208
664.34,37769
664.67,38179
664.99,37769
665.32,37987
665.65,37516
665.97,37025
666.3,37359
666.62,36830
666.95,37551
667.28,37301
667.6,37516
667.93,37926
668.25,36952
668.58,36862
668.91,37144
669.23,37016
669.56,37490
669.88,36228
670.21,36295
670.54,36106
670.86,36513
671.19,36260
671.51,36321
671.84,36856
672.16,36539
672.49,36225
672.81,36289
673.14,36353
673.46,35693
673.79,36164
674.11,36536
674.44,35344
674.76,36318
675.09,35187
675.41,35716
675.74,35501
676.06,36036
676.39,35841
676.71,35998
677.04,35725
677.36,34655
677.69,35004
678.01,35216
678.34,35937
678.66,35623
678.99,35213
679.31,34995
679.63,35123
679.96,35553
680.28,35364
680.61,34838
680.93,35678
681.25,35556
681.58,35553
681.9,34925
682.23,35239
682.55,35088
682.87,35370
683.2,34797
683.52,34896
683.84,35611
684.17,34733
684.49,34855
684.82,34576
685.14,34765
685.46,34925
685.79,35210
686.11,34800
686.43,34733
686.75,34707
687.08,34768
687.4,35361
687.72,35573
688.05,34460
688.37,34608
688.69,34765
689.02,35137
689.34,34291
689.66,35201
689.98,34503
690.31,34820
690.63,34352
690.95,34038
691.27,34070
691.6,33759
691.92,34160
692.24,33410
692.56,34230
692.88,34416
693.21,34567
693.53,33907
693.85,33250
694.17,34340
694.49,34157
694.82,34375
695.14,34602
695.46,34503
695.78,33939
696.1,33913
696.42,33971
696.75,33840
697.07,34157
697.39,33308
697.71,34343
698.03,33843
698.35,33247
698.67,34157
699,33817
699.32,33689
699.64,33471
699.96,34369
700.28,33154
700.6,34244
700.92,33651
701.24,33936
701.56,33654
701.88,33805
702.2,33910
702.53,34125
702.85,32997
703.17,33872
703.49,33744
703.81,34209
704.13,33747
704.45,33648
704.77,33369
705.09,33523
705.41,33555
705.73,33052
706.05,34093
706.37,33805
706.69,33802
707.01,33087
707.33,32529
707.65,33808
707.97,33491
708.29,33215
708.61,33401
708.93,32805
709.25,33084
709.57,33898
709.89,33206
710.2,33087
710.52,32927
710.84,34145
711.16,33270
711.48,32863
711.8,33020
712.12,33552
712.44,33773
712.76,33799
713.08,32924
713.4,33744
713.71,33270
714.03,32706
714.35,32761
714.67,33520
714.99,32927
715.31,32706
715.63,33296
715.94,32828
716.26,32418
716.58,33360
716.9,33238
717.22,33395
717.54,33517
717.85,33491
718.17,33264
718.49,33334
718.81,32828
719.13,33017
719.44,33930
719.76,32982
720.08,32828
720.4,33578
720.71,33831
721.03,33206
721.35,33328
721.67,33572
721.99,32799
722.3,32546
722.62,33046
722.94,32546
723.25,33052
723.57,32979
723.89,33517
724.21,33735
724.52,33331
724.84,32703
725.16,32988
725.47,32418
725.79,32918
726.11,33424
726.42,32546
726.74,32668
727.06,31953
727.37,32482
727.69,32822
728.01,32197
728.32,32767
728.64,33043
728.96,32450
729.27,32982
729.59,32799
729.9,33072
730.22,32796
730.54,32325
730.85,32578
731.17,32110
731.48,32982
731.8,32194
732.12,33331
732.43,32892
732.75,33293
733.06,33104
733.38,32950
733.69,32851
734.01,32886
734.32,33357
734.64,33139
734.95,33203
735.27,32642
735.59,32232
735.9,32543
736.22,32322
736.53,32104
736.85,33110
737.16,32450
737.48,33357
737.79,32918
738.1,32575
738.42,33168
738.73,33229
739.05,32979
739.36,36166
739.68,32889
739.99,32863
740.31,32386
740.62,32761
740.93,32072
741.25,31601
741.56,32604
741.88,32982
742.19,32892
742.51,32793
742.82,32883
743.13,32447
743.45,33014
743.76,32197
744.07,32351
744.39,32075
744.7,32235
745.02,32732
745.33,32665
745.64,32514
745.96,32325
746.27,32476
746.58,32258
746.9,32761
747.21,33017
747.52,32703
747.84,32796
748.15,32479
748.46,32447
748.77,32476
749.09,32796
749.4,31947
749.71,32854
750.03,32604
750.34,32729
750.65,32540
750.96,31822
751.28,32825
751.59,32729
751.9,33014
752.21,32540
752.53,32351
752.84,32636
753.15,32665
753.46,32258
753.77,33636
754.09,33066
754.4,33072
754.71,32636
755.02,32979
755.33,32546
755.65,33011
755.96,32953
756.27,32761
756.58,32982
756.89,32258
757.2,32485
757.51,33206
757.83,32607
758.14,33299
758.45,32418
758.76,32886
759.07,32886
759.38,32505
759.69,32502
760,32450
760.31,32761
760.63,32415
760.94,32991
761.25,33197
761.56,32505
761.87,32857
762.18,32694
762.49,33450
762.8,33043
763.11,32546
763.42,31601
763.73,32203
764.04,32348
764.35,32040
764.66,33136
764.97,32723
765.28,32354
765.59,32386
765.9,32444
766.21,32540
766.52,32383
766.83,32726
767.14,32819
767.45,32473
767.76,32066
768.07,32790
768.38,32976
768.69,32976
769,32793
769.31,32572
769.62,32165
769.93,32700
770.24,32848
770.55,34267
770.85,32796
771.16,32886
771.47,32822
771.78,32319
772.09,32409
772.4,32232
772.71,32572
773.02,32482
773.33,32790
773.63,31915
773.94,31822
774.25,32543
774.56,32360
774.87,32822
775.18,32912
775.48,31508
775.79,32290
776.1,32505
776.41,32383
776.72,32476
777.02,32415
777.33,33194
777.64,32601
777.95,32854
778.26,32979
778.56,33165
778.87,32726
779.18,31630
779.49,32133
779.79,32703
780.1,32726
780.41,32790
780.72,32761
781.02,33540
781.33,32950
781.64,33357
781.95,33232
782.25,32136
782.56,32322
782.87,32479
783.17,32726
783.48,32069
783.79,33357
784.09,32633
784.4,32950
784.71,31851
785.01,33258
785.32,32287
785.63,31944
785.93,32633
786.24,32386
786.55,32482
786.85,32697
787.16,32915
787.46,32473
787.77,32351
788.08,32601
788.38,32886
788.69,32822
788.99,32790
789.3,32447
789.61,32889
789.91,33104
790.22,32502
790.52,32101
790.83,32258
791.13,31697
791.44,33040
791.74,31659
792.05,32290
792.35,32444
792.66,32822
792.96,32723
793.27,32383
793.57,33011
793.88,33668
794.18,32290
